,Dataline,PlayerLinenumber,Play,ActSceneLine,PlayerLine
17351,17352,140.0,5,7094,91401
230,231,38.0,9,880,22235
540,541,26.0,9,1581,59976
19686,19687,25.0,4,5339,60682
8428,8429,26.0,12,8955,51589
17698,17699,11.0,5,9145,27057
29616,29617,46.0,7,3755,68170
71913,71914,22.0,22,15064,46433
38890,38891,11.0,10,10118,4591
81893,81894,29.0,26,1871,23113
36442,36443,75.0,8,13664,94547
42233,42234,81.0,14,7047,60132
36097,36098,76.0,8,13008,50531
6524,6525,11.0,12,1415,83777
74767,74768,12.0,23,9918,38398
66558,66559,37.0,21,12139,30775
49267,49268,60.0,17,468,73739
51576,51577,3.0,17,9985,39192
85873,85874,23.0,27,2227,4794
101238,101239,31.0,32,7366,6715
14213,14214,2.0,3,7736,1252
89332,89333,39.0,28,933,2584
71111,71112,59.0,22,9009,87679
87569,87570,49.0,27,8282,46945
39889,39890,36.0,10,13667,94228
103672,103673,25.0,33,4605,4080
63808,63809,3.0,20,10325,63345
104237,104238,39.0,33,6334,65376
78928,78929,41.0,25,1599,58754
25145,25146,16.0,6,2724,28896
69946,69947,98.0,22,3186,101922
62893,62894,13.0,20,6814,60537
44193,44194,83.0,16,3372,59682
34782,34783,141.0,8,7075,43191
111222,111223,3.0,2,14558,39841
62063,62064,37.0,20,3672,73778
75125,75126,39.0,23,10900,95128
91053,91054,10.0,28,12974,29867
41778,41779,24.0,14,5951,16054
92539,92540,3.0,29,4142,24701
7224,7225,1.0,12,4480,56639
91878,91879,90.0,29,1181,62455
99255,99256,11.0,32,547,60539
52988,52989,47.0,18,423,59449
18109,18110,9.0,5,12974,95231
63611,63612,77.0,20,9163,11243
27104,27105,24.0,6,10280,55974
37902,37903,22.0,10,7275,17787
12375,12376,3.0,13,15063,9677
52228,52229,26.0,17,12662,88090
30565,30566,35.0,7,8234,58703
9034,9035,8.0,12,12839,41169
96493,96494,3.0,31,491,1938
109131,109132,1.0,2,7248,56175
15888,15889,39.0,5,367,101547
28099,28100,20.0,6,14555,76882
110600,110601,196.0,2,11686,100746
11542,11543,19.0,13,9312,43449
4646,4647,50.0,11,6045,81581
111034,111035,2.0,2,13986,92970
64954,64955,73.0,21,3150,28686
64003,64004,50.0,20,12981,72635
77926,77927,80.0,24,15811,30945
76078,76079,13.0,24,1429,64256
37688,37689,12.0,10,4657,20672
24667,24668,50.0,6,414,5124
835,836,38.0,9,4241,91981
106781,106782,35.0,34,5983,21313
33107,33108,11.0,8,2174,71941
23172,23173,30.0,0,6331,90836
33490,33491,34.0,8,3039,29401
106325,106326,63.0,34,4659,37570
83078,83079,70.0,26,5999,11792
4528,4529,22.0,11,6339,55601
35715,35716,5.0,8,12618,9207
59382,59383,20.0,19,4589,41163
49511,49512,31.0,17,899,98248
44770,44771,1.0,16,6979,7730
95700,95701,57.0,30,10480,6769
75885,75886,11.0,24,795,58324
233,234,39.0,9,883,101779
54588,54589,95.0,18,10645,39605
26563,26564,136.0,6,6223,79695
101378,101379,65.0,32,7520,39095
63932,63933,26.0,20,13483,60256
68984,68985,28.0,1,12953,56036
37673,37674,10.0,10,5172,29440
34698,34699,107.0,8,6987,88594
107244,107245,17.0,34,10229,41134
81724,81725,71.0,26,979,33943
94756,94757,7.0,30,5997,96807
79028,79029,6.0,25,1926,74099
34397,34398,3.0,8,6924,101025
77660,77661,14.0,24,10892,43780
63420,63421,20.0,20,8955,19222
63719,63720,112.0,20,9283,30514
31794,31795,26.0,7,14975,95283
34699,34700,108.0,8,6988,48230
37056,37057,22.0,10,1011,60949
47264,47265,10.0,15,3898,20279
43701,43702,48.0,16,442,41491
1153,1154,56.0,9,4706,81171
12032,12033,32.0,13,12668,2623
51426,51427,45.0,17,8875,3416
81089,81090,36.0,25,14523,54783
10243,10244,14.0,13,3636,22209
26349,26350,59.0,6,5995,20947
102863,102864,6.0,32,13500,30064
90897,90898,15.0,28,11513,4892
52790,52791,124.0,17,14830,67567
105642,105643,35.0,34,812,97898
70242,70243,41.0,22,4282,28311
66280,66281,57.0,21,9878,22280
37129,37130,30.0,10,1090,70073
73665,73666,7.0,23,7503,25055
16828,16829,25.0,5,5554,6642
108814,108815,14.0,2,4218,16124
39059,39060,22.0,10,10372,33965
110273,110274,128.0,2,11338,72583
99674,99675,1.0,32,1679,43666
85571,85572,5.0,27,961,43663
7039,7040,68.0,12,3064,85653
59420,59421,3.0,19,4893,46571
53424,53425,20.0,18,3639,36701
91045,91046,6.0,28,12908,89336
105756,105757,35.0,34,1339,7738
6283,6284,14.0,12,815,61540
95415,95416,3.0,30,10325,5901
75571,75572,123.0,23,13704,64584
70890,70891,2.0,22,8316,45143
35109,35110,52.0,8,7940,54373
87015,87016,1.0,27,6979,11687
89162,89163,64.0,28,500,103240
45132,45133,17.0,16,9380,10165
22018,22019,15.0,4,14031,85974
1496,1497,180.0,9,5078,18595
82166,82167,105.0,26,1740,76948
33017,33018,16.0,8,1459,12164
38549,38550,1.0,10,9001,79685
88759,88760,6.0,28,183,52283
48425,48426,75.0,15,10429,79182
108688,108689,47.0,2,3123,89395
16777,16778,13.0,5,5703,4623
42420,42421,4.0,14,9374,65649
62355,62356,22.0,20,5499,32756
15467,15468,23.0,3,14532,56638
81911,81912,35.0,26,1466,34137
4728,4729,20.0,11,7224,25494
109698,109699,7.0,2,10825,101224
64160,64161,90.0,20,13156,17273
110387,110388,148.0,2,11461,37879
39796,39797,24.0,10,13563,91762
23725,23726,6.0,0,10503,92012
22186,22187,65.0,4,13670,56401
109813,109814,5.0,2,11224,57154
10997,10998,1.0,13,6868,71302
18087,18088,49.0,5,10431,35883
44149,44150,76.0,16,3323,52160
76119,76120,16.0,24,880,73440
105041,105042,46.0,33,10332,45654
97094,97095,17.0,31,3633,62769
58392,58393,4.0,19,480,41540
76497,76498,52.0,24,3091,18446
54066,54067,17.0,18,10283,100908
12327,12328,1.0,13,15039,80896
80431,80432,13.0,25,9365,7277
89192,89193,12.0,28,1028,19
79262,79263,28.0,25,3117,39935
93211,93212,21.0,29,8959,30888
96715,96716,37.0,31,475,73553
87888,87889,5.0,27,10625,9033
41416,41417,9.0,14,4815,22789
16089,16090,75.0,5,940,94486
54165,54166,37.0,18,9906,96398
80913,80914,21.0,25,14242,63813
96610,96611,17.0,31,364,69396
70190,70191,18.0,22,4614,20100
14506,14507,38.0,3,8469,65403
82626,82627,6.0,26,3665,69374
46478,46479,37.0,15,904,11007
22449,22450,2.0,0,436,31092
20184,20185,15.0,4,6935,27095
87974,87975,2.0,27,11920,80565
15506,15507,29.0,3,14572,77887
18179,18180,6.0,5,13654,102528
13494,13495,4.0,3,4236,97110
77131,77132,28.0,24,7275,58637
24135,24136,41.0,0,12932,28689
22191,22192,65.0,4,13675,25104
46714,46715,6.0,15,1767,57798
106981,106982,117.0,34,6200,100510
66571,66572,40.0,21,12151,93281
80094,80095,13.0,25,7778,86793
71916,71917,23.0,22,15066,83287
77593,77594,5.0,24,10392,64557
27238,27239,8.0,6,11898,13239
102490,102491,6.0,32,14514,20033
47548,47549,41.0,15,6344,4147
64366,64367,95.0,21,426,48090
28692,28693,54.0,7,440,74229
60269,60270,3.0,19,9852,99144
80130,80131,15.0,25,7816,64127
35327,35328,7.0,8,10947,2942
32421,32422,138.0,7,15642,42685
79349,79350,48.0,25,3212,56809
35925,35926,10.0,8,13074,19071
42707,42708,23.0,14,9864,30007
88761,88762,6.0,28,190,58779
3654,3655,28.0,11,1873,70893
66176,66177,13.0,21,10051,96547
82984,82985,20.0,26,6320,28907
76680,76681,35.0,24,4644,50826
64224,64225,25.0,21,778,79477
34046,34047,149.0,8,4097,99349
70342,70343,75.0,22,4391,97778
103349,103350,62.0,33,2276,90894
9626,9627,43.0,13,824,77835
33179,33180,9.0,8,2256,81543
70286,70287,58.0,22,4330,79737
1926,1927,5.0,9,7287,12565
52965,52966,39.0,18,399,21840
87125,87126,19.0,27,6771,3629
48402,48403,65.0,15,10407,48814
81905,81906,34.0,26,1460,1155
62504,62505,1.0,20,5793,56451
50970,50971,2.0,17,8139,43181
23385,23386,32.0,0,6781,81130
69060,69061,52.0,1,13031,71254
105478,105479,119.0,33,13183,85005
7673,7674,35.0,12,6067,60114
4071,4072,11.0,11,4558,45107
10730,10731,6.0,13,5185,32382
64190,64191,13.0,21,469,49978
64030,64031,56.0,20,13011,64958
12495,12496,36.0,13,15673,81520
41218,41219,37.0,14,3684,90377
24423,24424,119.0,0,13243,64005
101136,101137,16.0,32,7787,81318
5145,5146,38.0,11,9015,9120
32408,32409,136.0,7,15628,84608
28862,28863,18.0,7,2192,91033
89791,89792,111.0,28,3277,63936
108447,108448,104.0,2,1288,29602
109950,109951,25.0,2,10995,21439
56995,56996,8.0,35,7046,77361
45264,45265,8.0,16,10251,36715
93700,93701,54.0,29,13115,57838
13445,13446,56.0,3,3127,57561
71265,71266,106.0,22,9180,91076
9214,9215,15.0,12,13449,66800
33666,33667,25.0,8,3684,80073
30075,30076,6.0,7,7268,64488
94986,94987,13.0,30,8048,41585
81839,81840,20.0,26,1756,15184
87638,87639,61.0,27,8357,89879
103169,103170,7.0,33,1948,8652
58780,58781,22.0,19,2193,68598
81470,81471,23.0,26,353,27326
73501,73502,96.0,23,4529,12492
89756,89757,102.0,28,3239,5020
23519,23520,7.0,0,9212,35524
34804,34805,3.0,8,7348,64659
4548,4549,24.0,11,5938,42292
85815,85816,12.0,27,2163,73319
6170,6171,11.0,11,15692,14076
51860,51861,13.0,17,12408,56255
41099,41100,9.0,14,3809,76947
51438,51439,48.0,17,8639,31899
80735,80736,1.0,25,13129,76329
60314,60315,20.0,19,10284,98072
9436,9437,14.0,12,13998,47079
61298,61299,162.0,19,13372,71686
89706,89707,79.0,28,3184,48713
59006,59007,74.0,19,3126,30509
92840,92841,19.0,29,7113,72182
78795,78796,19.0,25,1880,54601
88171,88172,7.0,27,13442,81357
55947,55948,23.0,35,1845,42901
110692,110693,228.0,2,11787,94610
74768,74769,12.0,23,9929,43041
33505,33506,36.0,8,3055,33613
15396,15397,13.0,3,14840,50139
107954,107955,13.0,2,713,98311
110594,110595,195.0,2,11680,37031
27695,27696,3.0,6,12512,79997
36431,36432,70.0,8,13652,67846
3259,3260,8.0,11,773,54776
107555,107556,40.0,34,10967,14951
98351,98352,3.0,31,10525,70071
48761,48762,2.0,15,14844,51045
34072,34073,155.0,8,4126,101766
67900,67901,29.0,1,6327,59962
18995,18996,1.0,4,2189,62393
63488,63489,38.0,20,9027,33628
83328,83329,16.0,26,8114,35690
35870,35871,36.0,8,12574,16748
33351,33352,61.0,8,2324,79286
71730,71731,4.0,22,14208,74578
53951,53952,32.0,18,8953,76316
3279,3280,13.0,11,794,48997
48830,48831,21.0,15,14861,15788
8639,8640,80.0,12,9912,91491
70504,70505,1.0,22,6757,33698
33013,33014,16.0,8,1878,28575
64306,64307,69.0,21,365,99493
98217,98218,39.0,31,10320,2554
70348,70349,75.0,22,4398,58174
13789,13790,86.0,3,4405,101803
73796,73797,63.0,23,7356,12730
68474,68475,101.0,1,7121,71952
104957,104958,4.0,33,9885,55862
55215,55216,193.0,18,13907,61960
19077,19078,11.0,4,2219,74403
71457,71458,19.0,22,13460,47872
1574,1575,10.0,9,6097,52329
833,834,38.0,9,4239,27864
14680,14681,3.0,3,10292,38756
24047,24048,12.0,0,13196,31448
4150,4151,6.0,11,4682,15169
49489,49490,30.0,17,876,98579
87788,87789,32.0,27,8973,40243
63306,63307,27.0,20,8444,35884
26330,26331,53.0,6,5974,48529
24360,24361,97.0,0,13176,36162
15145,15146,2.0,3,12131,37131
53597,53598,107.0,18,3216,21553
28399,28400,26.0,6,15709,24152
86463,86464,9.0,27,4704,96863
7935,7936,27.0,12,7276,21995
109050,109051,51.0,2,4380,20598
71658,71659,97.0,22,13100,39418
98076,98077,24.0,31,9402,69530
74966,74967,80.0,23,9968,91104
2211,2212,80.0,9,7062,26432
102420,102421,106.0,32,13614,63355
9681,9682,71.0,13,385,70728
87390,87391,8.0,27,8114,65055
45783,45784,2.0,16,13554,76417
48018,48019,68.0,15,6901,23974
32638,32639,1.0,8,1305,88279
22357,22358,111.0,4,13839,40255
50471,50472,20.0,17,5139,32547
27587,27588,45.0,6,12177,40587
106062,106063,63.0,34,3042,10370
107593,107594,47.0,34,11008,3273
107017,107018,1.0,34,6868,50460
65681,65682,44.0,21,7821,103015
96649,96650,22.0,31,403,27396
8274,8275,76.0,12,7106,1618
38819,38820,75.0,10,9143,22343
24782,24783,88.0,6,537,72548
16647,16648,10.0,5,5291,92586
87916,87917,2.0,27,11024,70370
18665,18666,15.0,4,984,77975
53770,53771,60.0,18,5995,52311
56783,56784,19.0,35,5059,79488
106750,106751,24.0,34,5950,85146
9261,9262,27.0,12,12921,38925
57260,57261,2.0,35,8305,89808
71931,71932,32.0,22,15081,58366
54672,54673,25.0,18,13440,102046
18365,18366,15.0,5,15041,6000
26433,26434,81.0,6,6084,88486
56675,56676,39.0,35,4288,68832
30699,30700,12.0,7,8594,42548
49384,49385,1.0,17,1445,12038
19040,19041,6.0,4,2179,26949
73358,73359,68.0,23,4375,82099
43327,43328,10.0,14,15047,93069
62158,62159,2.0,20,4303,97015
33482,33483,33.0,8,3638,80650
37639,37640,5.0,10,5138,77515
59212,59213,40.0,19,3649,79719
19294,19295,18.0,4,3998,54082
51643,51644,19.0,17,10319,74725
57592,57593,29.0,35,10291,85195
53204,53205,48.0,18,863,20443
108205,108206,49.0,2,1024,86469
17395,17396,16.0,5,7559,92092
111173,111174,25.0,2,13588,100961
17890,17891,6.0,5,9907,42032
48620,48621,3.0,15,12974,8397
35461,35462,21.0,8,12128,60437
28259,28260,17.0,6,15069,41346
976,977,19.0,9,4272,34936
38904,38905,12.0,10,10262,43970
7104,7105,101.0,12,3130,90378
27790,27791,13.0,6,13296,80786
44610,44611,34.0,16,6045,5961
59962,59963,27.0,19,7267,19395
13476,13477,63.0,3,3162,60072
68839,68840,2.0,1,13351,44376
72681,72682,76.0,23,1727,98433
57708,57709,13.0,35,10884,39893
40975,40976,29.0,14,3036,137
83610,83611,13.0,26,8839,47438
37670,37671,10.0,10,5168,613
64365,64366,94.0,21,425,93427
24560,24561,28.0,6,797,101263
102162,102163,15.0,32,13107,85037
52824,52825,3.0,18,535,66758
49376,49377,1.0,17,861,72511
55660,55661,378.0,18,14383,68242
9426,9427,14.0,12,13887,52074
30410,30411,32.0,7,7941,5417
61423,61424,8.0,20,779,72549
95236,95237,1.0,30,8460,66709
59538,59539,41.0,19,4703,34416
60085,60086,72.0,19,6865,97792
