Dataline,Play,PlayerLinenumber,ActSceneLine,PlayerLine,Player
38,Henry IV,2,1.1.35,And many limits of the charge set down,CHARLES
39,Henry IV,2,1.1.36,But yesternight: when all athwart there came,PISANIO
40,Henry IV,2,1.1.37,"A post from Wales loaden with heavy news,",Third Servingman
41,Henry IV,2,1.1.38,"Whose worst was, that the noble Mortimer,",CASSIO
42,Henry IV,2,1.1.39,Leading the men of Herefordshire to fight,LADY MACBETH
43,Henry IV,2,1.1.40,"Against the irregular and wild Glendower,",COSTARD
44,Henry IV,2,1.1.41,"Was by the rude hands of that Welshman taken,",KING EDWARD IV
45,Henry IV,2,1.1.42,"A thousand of his people butchered,",MARK ANTONY
46,Henry IV,2,1.1.43,"Upon whose dead corpse there was such misuse,",TIMON
47,Henry IV,2,1.1.44,"Such beastly shameless transformation,",EXETER
48,Henry IV,2,1.1.45,By those Welshwomen done as may not be,DUKE
49,Henry IV,2,1.1.46,Without much shame retold or spoken of.,CLARENCE
50,Henry IV,3,1.1.47,It seems then that the tidings of this broil,KING HENRY V
51,Henry IV,3,1.1.48,Brake off our business for the Holy Land.,FALSTAFF
52,Henry IV,4,1.1.49,"This match'd with other did, my gracious lord,",COMINIUS
53,Henry IV,4,1.1.50,For more uneven and unwelcome news,PANDARUS
54,Henry IV,4,1.1.51,Came from the north and thus it did import:,THERSITES
55,Henry IV,4,1.1.52,"On Holy-rood day, the gallant Hotspur there,",ROSALIND
56,Henry IV,4,1.1.53,"Young Harry Percy and brave Archibald,",HERO
57,Henry IV,4,1.1.54,"That ever-valiant and approved Scot,",ADRIANA
58,Henry IV,4,1.1.55,"At Holmedon met,",VIOLA
59,Henry IV,4,1.1.56,"Where they did spend a sad and bloody hour,",First Officer
60,Henry IV,4,1.1.57,"As by discharge of their artillery,",VALENTINE
61,Henry IV,4,1.1.58,"And shape of likelihood, the news was told,",PORTIA
62,Henry IV,4,1.1.59,"For he that brought them, in the very heat",Time
63,Henry IV,4,1.1.60,"And pride of their contention did take horse,",Soldier
64,Henry IV,4,1.1.61,Uncertain of the issue any way.,QUEEN ELIZABETH
65,Henry IV,5,1.1.62,"Here is a dear, a true industrious friend,",CASCA
66,Henry IV,5,1.1.63,"Sir Walter Blunt, new lighted from his horse.",FENTON
67,Henry IV,5,1.1.64,Stain'd with the variation of each soil,OBERON
68,Henry IV,5,1.1.65,"Betwixt that Holmedon and this seat of ours,",QUEEN MARGARET
69,Henry IV,5,1.1.66,And he hath brought us smooth and welcome news.,KING JOHN
70,Henry IV,5,1.1.67,The Earl of Douglas is discomfited:,QUEEN ELIZABETH
71,Henry IV,5,1.1.68,"Ten thousand bold Scots, two and twenty knights,",HAMLET
72,Henry IV,5,1.1.69,Balk'd in their own blood did Sir Walter see,IRAS
73,Henry IV,5,1.1.70,"On Holmedon's plains. Of prisoners, Hotspur took",PERICLES
74,Henry IV,5,1.1.71,"Mordake the Earl of Fife, and eldest son",BENEDICK
75,Henry IV,5,1.1.72,"To beaten Douglas, and the Earl of Athol,",LENNOX
76,Henry IV,5,1.1.73,"Of Murray, Angus, and Menteith:",DOMITIUS ENOBARBUS
77,Henry IV,5,1.1.74,And is not this an honourable spoil?,CAMILLO
78,Henry IV,5,1.1.75,"A gallant prize? ha, cousin, is it not?",TYRREL
79,Henry IV,6,1.1.76,"In faith,",DOGBERRY
80,Henry IV,6,1.1.77,It is a conquest for a prince to boast of.,KING RICHARD III
81,Henry IV,7,1.1.78,"Yea, there thou makest me sad and makest me sin",Surveyor
82,Henry IV,7,1.1.79,In envy that my Lord Northumberland,SEBASTIAN
83,Henry IV,7,1.1.80,"Should be the father to so blest a son,",First Citizen
84,Henry IV,7,1.1.81,"A son who is the theme of honour's tongue,",Captain
85,Henry IV,7,1.1.82,"Amongst a grove, the very straightest plant,",BAPTISTA
86,Henry IV,7,1.1.83,Who is sweet Fortune's minion and her pride:,CRESSIDA
87,Henry IV,7,1.1.84,"Whilst I, by looking on the praise of him,",KING CLAUDIUS
88,Henry IV,7,1.1.85,See riot and dishonour stain the brow,HOLOFERNES
89,Henry IV,7,1.1.86,Of my young Harry. O that it could be proved,MARK ANTONY
90,Henry IV,7,1.1.87,That some night-tripping fairy had exchanged,SHALLOW
91,Henry IV,7,1.1.88,"In cradle-clothes our children where they lay,",GLOUCESTER
92,Henry IV,7,1.1.89,"And call'd mine Percy, his Plantagenet!",CORIOLANUS
93,Henry IV,7,1.1.90,"Then would I have his Harry, and he mine.",SATURNINUS
94,Henry IV,7,1.1.91,"But let him from my thoughts. What think you, coz,",ISABELLA
95,Henry IV,7,1.1.92,"Of this young Percy's pride? the prisoners,",LUCIUS
96,Henry IV,7,1.1.93,"Which he in this adventure hath surprised,",PRINCE HENRY
97,Henry IV,7,1.1.94,"To his own use he keeps, and sends me word,",GLOUCESTER
98,Henry IV,7,1.1.95,I shall have none but Mordake Earl of Fife.,DUKE VINCENTIO
99,Henry IV,8,1.1.96,"This is his uncle's teaching, this is Worcester,",WILLIAMS
100,Henry IV,8,1.1.97,"Malevolent to you in all aspects,",DOMITIUS ENOBARBUS
101,Henry IV,8,1.1.98,"Which makes him prune himself, and bristle up",DIANA
102,Henry IV,8,1.1.99,The crest of youth against your dignity.,ARIEL
103,Henry IV,9,1.1.100,"But I have sent for him to answer this,",Nurse
104,Henry IV,9,1.1.101,And for this cause awhile we must neglect,KING HENRY V
105,Henry IV,9,1.1.102,Our holy purpose to Jerusalem.,BOYET
106,Henry IV,9,1.1.103,"Cousin, on Wednesday next our council we",FLORIZEL
107,Henry IV,9,1.1.104,"Will hold at Windsor, so inform the lords:",CAESAR
108,Henry IV,9,1.1.105,"But come yourself with speed to us again,",TITUS ANDRONICUS
109,Henry IV,9,1.1.106,For more is to be said and to be done,CARDINAL WOLSEY
110,Henry IV,9,1.1.107,Than out of anger can be uttered.,AJAX
111,Henry IV,10,1.1.108,"I will, my liege.",CLAUDIO
112,Henry IV,10,,Exeunt,SIR STEPHEN SCROOP
113,Henry IV,10,,SCENE II. London. An apartment of the Prince's.,MACDUFF
114,Henry IV,10,,Enter the PRINCE OF WALES and FALSTAFF,BRAKENBURY
115,Henry IV,1,1.2.1,"Now, Hal, what time of day is it, lad?",MIRANDA
116,Henry IV,2,1.2.2,"Thou art so fat-witted, with drinking of old sack",FERDINAND
117,Henry IV,2,1.2.3,and unbuttoning thee after supper and sleeping upon,ANTONY
118,Henry IV,2,1.2.4,"benches after noon, that thou hast forgotten to",TYRREL
119,Henry IV,2,1.2.5,demand that truly which thou wouldst truly know.,ALCIBIADES
120,Henry IV,2,1.2.6,What a devil hast thou to do with the time of the,STANLEY
121,Henry IV,2,1.2.7,day? Unless hours were cups of sack and minutes,SIMONIDES
122,Henry IV,2,1.2.8,capons and clocks the tongues of bawds and dials the,DOMITIUS ENOBARBUS
123,Henry IV,2,1.2.9,signs of leaping-houses and the blessed sun himself,BEDFORD
124,Henry IV,2,1.2.10,"a fair hot wench in flame-coloured taffeta, I see no",TITANIA
125,Henry IV,2,1.2.11,reason why thou shouldst be so superfluous to demand,MARIA
126,Henry IV,2,1.2.12,the time of the day.,SPEED
127,Henry IV,3,1.2.13,"Indeed, you come near me now, Hal, for we that take",BENEDICK
128,Henry IV,3,1.2.14,"purses go by the moon and the seven stars, and not",MECAENAS
129,Henry IV,3,1.2.15,"by Phoebus, he,'that wandering knight so fair.' And,",POSTHUMUS LEONATUS
130,Henry IV,3,1.2.16,"I prithee, sweet wag, when thou art king, as, God",KING HENRY VI
131,Henry IV,3,1.2.17,"save thy grace,--majesty I should say, for grace",FERDINAND
132,Henry IV,3,1.2.18,"thou wilt have none,--",GOWER
133,Henry IV,4,1.2.19,"What, none?",OTHELLO
134,Henry IV,5,1.2.20,"No, by my troth, not so much as will serve to",ROSALIND
135,Henry IV,5,1.2.21,prologue to an egg and butter.,FLUELLEN
136,Henry IV,6,1.2.22,"Well, how then? come, roundly, roundly.",ROSALINE
137,Henry IV,7,1.2.23,"Marry, then, sweet wag, when thou art king, let not",PANDARUS
138,Henry IV,7,1.2.24,us that are squires of the night's body be called,TOUCHSTONE
139,Henry IV,7,1.2.25,thieves of the day's beauty: let us be Diana's,TIMON
140,Henry IV,7,1.2.26,"foresters, gentlemen of the shade, minions of the",VALENTINE
141,Henry IV,7,1.2.27,"moon, and let men say we be men of good government,",Second Lord
142,Henry IV,7,1.2.28,"being governed, as the sea is, by our noble and",OPHELIA
143,Henry IV,7,1.2.29,"chaste mistress the moon, under whose countenance we steal.",KATHARINA
144,Henry IV,8,1.2.30,"Thou sayest well, and it holds well too, for the",ANTONIO
145,Henry IV,8,1.2.31,fortune of us that are the moon's men doth ebb and,DIOMEDES
146,Henry IV,8,1.2.32,"flow like the sea, being governed, as the sea is,",MISTRESS QUICKLY
147,Henry IV,8,1.2.33,"by the moon. As, for proof, now: a purse of gold",DIOMEDES
148,Henry IV,8,1.2.34,most resolutely snatched on Monday night and most,EDGAR
149,Henry IV,8,1.2.35,"dissolutely spent on Tuesday morning, got with",WARWICK
150,Henry IV,8,1.2.36,"swearing 'Lay by' and spent with crying 'Bring in,'",GLOUCESTER
151,Henry IV,8,1.2.37,now in as low an ebb as the foot of the ladder,PETER
152,Henry IV,8,1.2.38,and by and by in as high a flow as the ridge of the gallows.,BRUTUS
153,Henry IV,9,1.2.39,"By the Lord, thou sayest true, lad. And is not my",OLIVIA
154,Henry IV,9,1.2.40,hostess of the tavern a most sweet wench?,LARTIUS
155,Henry IV,10,1.2.41,"As the honey of Hybla, my old lad of the castle. And",BORACHIO
156,Henry IV,10,1.2.42,is not a buff jerkin a most sweet robe of durance?,STEPHANO
157,Henry IV,11,1.2.43,"How now, how now, mad wag! what, in thy quips and",BRUTUS
158,Henry IV,11,1.2.44,thy quiddities? what a plague have I to do with a,LADY CAPULET
159,Henry IV,11,1.2.45,buff jerkin?,IMOGEN
160,Henry IV,12,1.2.46,"Why, what a pox have I to do with my hostess of the tavern?",GRATIANO
161,Henry IV,13,1.2.47,"Well, thou hast called her to a reckoning many a",CARDINAL
162,Henry IV,13,1.2.48,time and oft.,LAFEU
163,Henry IV,14,1.2.49,Did I ever call for thee to pay thy part?,RICHARD
164,Henry IV,15,1.2.50,"No, I'll give thee thy due, thou hast paid all there.",YORK
165,Henry IV,16,1.2.51,"Yea, and elsewhere, so far as my coin would stretch,",ELBOW
166,Henry IV,16,1.2.52,"and where it would not, I have used my credit.",BRUTUS
167,Henry IV,17,1.2.53,"Yea, and so used it that were it not here apparent",PROTEUS
168,Henry IV,17,1.2.54,"that thou art heir apparent--But, I prithee, sweet",CHARLES
169,Henry IV,17,1.2.55,"wag, shall there be gallows standing in England when",PORTIA
170,Henry IV,17,1.2.56,thou art king? and resolution thus fobbed as it is,KING RICHARD III
171,Henry IV,17,1.2.57,with the rusty curb of old father antic the law? Do,LEONTES
172,Henry IV,17,1.2.58,"not thou, when thou art king, hang a thief.",Third Outlaw
173,Henry IV,18,1.2.59,"No, thou shalt.",IAGO
174,Henry IV,19,1.2.60,"Shall I? O rare! By the Lord, I'll be a brave judge.",KING JOHN
175,Henry IV,20,1.2.61,"Thou judgest false already: I mean, thou shalt have",FRIAR LAURENCE
176,Henry IV,20,1.2.62,the hanging of the thieves and so become a rare hangman.,MARIA
177,Henry IV,21,1.2.63,"Well, Hal, well, and in some sort it jumps with my",Second Page
178,Henry IV,21,1.2.64,"humour as well as waiting in the court, I can tell",MORTIMER
179,Henry IV,21,1.2.65,you.,BASTARD
180,Henry IV,22,1.2.66,For obtaining of suits?,BIRON
181,Henry IV,23,1.2.67,"Yea, for obtaining of suits, whereof the hangman",Chamberlain
182,Henry IV,23,1.2.68,"hath no lean wardrobe. 'Sblood, I am as melancholy",MARCELLUS
183,Henry IV,23,1.2.69,as a gib cat or a lugged bear.,TROILUS
184,Henry IV,24,1.2.70,"Or an old lion, or a lover's lute.",KING EDWARD IV
185,Henry IV,25,1.2.71,"Yea, or the drone of a Lincolnshire bagpipe.",LUCENTIO
186,Henry IV,26,1.2.72,"What sayest thou to a hare, or the melancholy of",Second Servant
187,Henry IV,26,1.2.73,Moor-ditch?,MACBETH
188,Henry IV,27,1.2.74,Thou hast the most unsavoury similes and art indeed,BOULT
189,Henry IV,27,1.2.75,"the most comparative, rascalliest, sweet young",DUKE VINCENTIO
190,Henry IV,27,1.2.76,"prince. But, Hal, I prithee, trouble me no more",TIMON
191,Henry IV,27,1.2.77,with vanity. I would to God thou and I knew where a,BURGUNDY
192,Henry IV,27,1.2.78,commodity of good names were to be bought. An old,ADRIANA
193,Henry IV,27,1.2.79,lord of the council rated me the other day in the,CARDINAL WOLSEY
194,Henry IV,27,1.2.80,"street about you, sir, but I marked him not, and yet",OTHELLO
195,Henry IV,27,1.2.81,"he talked very wisely, but I regarded him not, and",GLOUCESTER
196,Henry IV,27,1.2.82,"yet he talked wisely, and in the street too.",MISTRESS QUICKLY
197,Henry IV,28,1.2.83,"Thou didst well, for wisdom cries out in the",First Gentleman
198,Henry IV,28,1.2.84,"streets, and no man regards it.",OF EPHESUS
199,Henry IV,29,1.2.85,"O, thou hast damnable iteration and art indeed able",KING RICHARD II
200,Henry IV,29,1.2.86,to corrupt a saint. Thou hast done much harm upon,SILVIA
201,Henry IV,29,1.2.87,"me, Hal, God forgive thee for it! Before I knew",MISTRESS FORD
202,Henry IV,29,1.2.88,"thee, Hal, I knew nothing, and now am I, if a man",DEMETRIUS
203,Henry IV,29,1.2.89,"should speak truly, little better than one of the",Third Gentleman
204,Henry IV,29,1.2.90,"wicked. I must give over this life, and I will give",DUKE FREDERICK
205,Henry IV,29,1.2.91,"it over: by the Lord, and I do not, I am a villain:",DUKE SENIOR
206,Henry IV,29,1.2.92,I'll be damned for never a king's son in,MARULLUS
207,Henry IV,29,1.2.93,Christendom.,CORIN
208,Henry IV,30,1.2.94,"Where shall we take a purse tomorrow, Jack?",EXETER
209,Henry IV,31,1.2.95,"'Zounds, where thou wilt, lad, I'll make one, an I",POSTHUMUS LEONATUS
210,Henry IV,31,1.2.96,"do not, call me villain and baffle me.",LUCIUS
211,Henry IV,32,1.2.97,"I see a good amendment of life in thee, from praying",ADRIANO DE ARMADO
212,Henry IV,32,1.2.98,to purse-taking.,ROMEO
213,Henry IV,33,1.2.99,"Why, Hal, 'tis my vocation, Hal, 'tis no sin for a",GLOUCESTER
214,Henry IV,33,1.2.100,man to labour in his vocation.,DUKE OF VENICE
215,Henry IV,33,,Enter POINS,DESDEMONA
216,Henry IV,33,1.2.101,Poins! Now shall we know if Gadshill have set a,WARWICK
217,Henry IV,33,1.2.102,"match. O, if men were to be saved by merit, what",Messenger
218,Henry IV,33,1.2.103,hole in hell were hot enough for him? This is the,DOGBERRY
219,Henry IV,33,1.2.104,most omnipotent villain that ever cried 'Stand' to,TROILUS
220,Henry IV,33,1.2.105,a true man.,FERDINAND
221,Henry IV,34,1.2.106,"Good morrow, Ned.",BERTRAM
222,Henry IV,35,1.2.107,"Good morrow, sweet Hal. What says Monsieur Remorse?",COSTARD
223,Henry IV,35,1.2.108,what says Sir John Sack and Sugar? Jack! how,QUEEN MARGARET
224,Henry IV,35,1.2.109,"agrees the devil and thee about thy soul, that thou",MISTRESS QUICKLY
225,Henry IV,35,1.2.110,soldest him on Good-Friday last for a cup of Madeira,ARIEL
226,Henry IV,35,1.2.111,and a cold capon's leg?,CORIOLANUS
227,Henry IV,36,1.2.112,"Sir John stands to his word, the devil shall have",BERTRAM
228,Henry IV,36,1.2.113,"his bargain, for he was never yet a breaker of",MENENIUS
229,Henry IV,36,1.2.114,proverbs: he will give the devil his due.,QUEEN MARGARET
230,Henry IV,37,1.2.115,Then art thou damned for keeping thy word with the devil.,TOUCHSTONE
231,Henry IV,38,1.2.116,Else he had been damned for cozening the devil.,PETRUCHIO
232,Henry IV,39,1.2.117,"But, my lads, my lads, to-morrow morning, by four",Clown
233,Henry IV,39,1.2.118,"o'clock, early at Gadshill! there are pilgrims going",CAPULET
234,Henry IV,39,1.2.119,"to Canterbury with rich offerings, and traders",CARDINAL
235,Henry IV,39,1.2.120,riding to London with fat purses: I have vizards,HAMLET
236,Henry IV,39,1.2.121,"for you all, you have horses for yourselves:",Second Conspirator
237,Henry IV,39,1.2.122,Gadshill lies to-night in Rochester: I have bespoke,First Senator
238,Henry IV,39,1.2.123,supper to-morrow night in Eastcheap: we may do it,KING RICHARD II
239,Henry IV,39,1.2.124,"as secure as sleep. If you will go, I will stuff",CLEOPATRA
240,Henry IV,39,1.2.125,"your purses full of crowns, if you will not, tarry",CLEON
241,Henry IV,39,1.2.126,at home and be hanged.,BASSANIO
242,Henry IV,40,1.2.127,"Hear ye, Yedward, if I tarry at home and go not,",DUCHESS OF YORK
243,Henry IV,40,1.2.128,I'll hang you for going.,BASSANIO
244,Henry IV,41,1.2.129,"You will, chops?",KING HENRY V
245,Henry IV,42,1.2.130,"Hal, wilt thou make one?",ACHILLES
246,Henry IV,43,1.2.131,"Who, I rob? I a thief? not I, by my faith.",BOYET
247,Henry IV,44,1.2.132,"There's neither honesty, manhood, nor good",SEBASTIAN
248,Henry IV,44,1.2.133,"fellowship in thee, nor thou camest not of the blood",COMINIUS
249,Henry IV,44,1.2.134,"royal, if thou darest not stand for ten shillings.",AUTOLYCUS
250,Henry IV,45,1.2.135,"Well then, once in my days I'll be a madcap.",HAMLET
251,Henry IV,46,1.2.136,"Why, that's well said.",GLOUCESTER
252,Henry IV,47,1.2.137,"Well, come what will, I'll tarry at home.",Painter
253,Henry IV,48,1.2.138,"By the Lord, I'll be a traitor then, when thou art king.",NORFOLK
254,Henry IV,49,1.2.139,I care not.,MONTAGUE
255,Henry IV,50,1.2.140,"Sir John, I prithee, leave the prince and me alone:",ULYSSES
256,Henry IV,50,1.2.141,I will lay him down such reasons for this adventure,JULIA
257,Henry IV,50,1.2.142,that he shall go.,KENT
258,Henry IV,51,1.2.143,"Well, God give thee the spirit of persuasion and him",LADY PERCY
259,Henry IV,51,1.2.144,"the ears of profiting, that what thou speakest may",DOCTOR CAIUS
260,Henry IV,51,1.2.145,"move and what he hears may be believed, that the",MARK ANTONY
261,Henry IV,51,1.2.146,"true prince may, for recreation sake, prove a false",FALSTAFF
262,Henry IV,51,1.2.147,"thief, for the poor abuses of the time want",CLEOPATRA
263,Henry IV,51,1.2.148,countenance. Farewell: you shall find me in Eastcheap.,PETRUCHIO
264,Henry IV,52,1.2.149,"Farewell, thou latter spring! farewell, All-hallown summer!",MENECRATES
265,Henry IV,52,,Exit Falstaff,ROMEO
266,Henry IV,53,1.2.150,"Now, my good sweet honey lord, ride with us",Scrivener
267,Henry IV,53,1.2.151,to-morrow: I have a jest to execute that I cannot,KING HENRY V
268,Henry IV,53,1.2.152,"manage alone. Falstaff, Bardolph, Peto and Gadshill",DUKE VINCENTIO
269,Henry IV,53,1.2.153,shall rob those men that we have already waylaid:,PRINCE HENRY
270,Henry IV,53,1.2.154,"yourself and I will not be there, and when they",PRINCESS
271,Henry IV,53,1.2.155,"have the booty, if you and I do not rob them, cut",ANTONIO
272,Henry IV,53,1.2.156,this head off from my shoulders.,DAUPHIN
273,Henry IV,54,1.2.157,How shall we part with them in setting forth?,CHARLES
274,Henry IV,55,1.2.158,"Why, we will set forth before or after them, and",IAGO
275,Henry IV,55,1.2.159,"appoint them a place of meeting, wherein it is at",CAMILLO
276,Henry IV,55,1.2.160,"our pleasure to fail, and then will they adventure",SUFFOLK
277,Henry IV,55,1.2.161,"upon the exploit themselves, which they shall have",MERCUTIO
278,Henry IV,55,1.2.162,"no sooner achieved, but we'll set upon them.",OTHELLO
279,Henry IV,56,1.2.163,"Yea, but 'tis like that they will know us by our",DUCHESS OF YORK
280,Henry IV,56,1.2.164,"horses, by our habits and by every other",QUEEN MARGARET
281,Henry IV,56,1.2.165,"appointment, to be ourselves.",CLAUDIO
282,Henry IV,57,1.2.166,Tut! our horses they shall not see: I'll tie them,MENENIUS
283,Henry IV,57,1.2.167,"in the wood, our vizards we will change after we",SUFFOLK
284,Henry IV,57,1.2.168,"leave them: and, sirrah, I have cases of buckram",CLAUDIO
285,Henry IV,57,1.2.169,"for the nonce, to immask our noted outward garments.",Sergeant
286,Henry IV,58,1.2.170,"Yea, but I doubt they will be too hard for us.",MISTRESS PAGE
287,Henry IV,59,1.2.171,"Well, for two of them, I know them to be as",BRUTUS
288,Henry IV,59,1.2.172,"true-bred cowards as ever turned back, and for the",AJAX
289,Henry IV,59,1.2.173,"third, if he fight longer than he sees reason, I'll",PERDITA
290,Henry IV,59,1.2.174,"forswear arms. The virtue of this jest will be, the",MARK ANTONY
291,Henry IV,59,1.2.175,incomprehensible lies that this same fat rogue will,HASTINGS
292,Henry IV,59,1.2.176,"tell us when we meet at supper: how thirty, at",Lady
293,Henry IV,59,1.2.177,"least, he fought with, what wards, what blows, what",COUNTESS
294,Henry IV,59,1.2.178,"extremities he endured, and in the reproof of this",LAFEU
295,Henry IV,59,1.2.179,lies the jest.,NYM
296,Henry IV,60,1.2.180,"Well, I'll go with thee: provide us all things",FALSTAFF
297,Henry IV,60,1.2.181,"necessary and meet me to-morrow night in Eastcheap,",Clown
298,Henry IV,60,1.2.182,there I'll sup. Farewell.,KING RICHARD III
299,Henry IV,61,1.2.183,"Farewell, my lord.",ANGELO
300,Henry IV,61,,Exit Poins,THESEUS
301,Henry IV,62,1.2.184,"I know you all, and will awhile uphold",SHYLOCK
302,Henry IV,62,1.2.185,The unyoked humour of your idleness:,DUKE FREDERICK
303,Henry IV,62,1.2.186,"Yet herein will I imitate the sun,",MISTRESS FORD
304,Henry IV,62,1.2.187,Who doth permit the base contagious clouds,PISTOL
305,Henry IV,62,1.2.188,"To smother up his beauty from the world,",FLAVIUS
306,Henry IV,62,1.2.189,"That, when he please again to be himself,",BENEDICK
307,Henry IV,62,1.2.190,"Being wanted, he may be more wonder'd at,",CELIA
308,Henry IV,62,1.2.191,By breaking through the foul and ugly mists,DEMETRIUS
309,Henry IV,62,1.2.192,Of vapours that did seem to strangle him.,KING HENRY V
310,Henry IV,62,1.2.193,"If all the year were playing holidays,",EDWARD
311,Henry IV,62,1.2.194,"To sport would be as tedious as to work,",PORTIA
312,Henry IV,62,1.2.195,"But when they seldom come, they wish'd for come,",DUKE VINCENTIO
313,Henry IV,62,1.2.196,And nothing pleaseth but rare accidents.,KENT
314,Henry IV,62,1.2.197,"So, when this loose behavior I throw off",ARTHUR
315,Henry IV,62,1.2.198,"And pay the debt I never promised,",BUCKINGHAM
316,Henry IV,62,1.2.199,"By how much better than my word I am,",ANTONIO
317,Henry IV,62,1.2.200,"By so much shall I falsify men's hopes,",BUCKINGHAM
318,Henry IV,62,1.2.201,"And like bright metal on a sullen ground,",ISABELLA
319,Henry IV,62,1.2.202,"My reformation, glittering o'er my fault,",BALTHASAR
320,Henry IV,62,1.2.203,Shall show more goodly and attract more eyes,JOAN LA PUCELLE
321,Henry IV,62,1.2.204,Than that which hath no foil to set it off.,VALENTINE
322,Henry IV,62,1.2.205,"I'll so offend, to make offence a skill,",ESCALUS
323,Henry IV,62,1.2.206,Redeeming time when men think least I will.,MENENIUS
324,Henry IV,62,,Exit,THESEUS
325,Henry IV,62,,SCENE III. London. The palace.,OF SYRACUSE
326,Henry IV,62,,"Enter the KING, NORTHUMBERLAND, WORCESTER, HOTSPUR, SIR WALTER BLUNT, with others",MOROCCO
327,Henry IV,1,1.3.1,"My blood hath been too cold and temperate,",ISABELLA
328,Henry IV,1,1.3.2,"Unapt to stir at these indignities,",CAMILLO
329,Henry IV,1,1.3.3,"And you have found me, for accordingly",BRUTUS
330,Henry IV,1,1.3.4,You tread upon my patience: but be sure,Watchman
331,Henry IV,1,1.3.5,"I will from henceforth rather be myself,",PANDARUS
332,Henry IV,1,1.3.6,"Mighty and to be fear'd, than my condition,",HELENA
333,Henry IV,1,1.3.7,"Which hath been smooth as oil, soft as young down,",SATURNINUS
334,Henry IV,1,1.3.8,And therefore lost that title of respect,LARTIUS
335,Henry IV,1,1.3.9,Which the proud soul ne'er pays but to the proud.,Clown
336,Henry IV,2,1.3.10,"Our house, my sovereign liege, little deserves",PAROLLES
337,Henry IV,2,1.3.11,"The scourge of greatness to be used on it,",VIRGILIA
338,Henry IV,2,1.3.12,And that same greatness too which our own hands,LUCENTIO
339,Henry IV,2,1.3.13,Have holp to make so portly.,FORD
340,Henry IV,3,1.3.14,My lord.--,DUKE SOLINUS
341,Henry IV,4,1.3.15,"Worcester, get thee gone, for I do see",Old Athenian
342,Henry IV,4,1.3.16,Danger and disobedience in thine eye:,Second Servant
343,Henry IV,4,1.3.17,"O, sir, your presence is too bold and peremptory,",First Clown
344,Henry IV,4,1.3.18,And majesty might never yet endure,BRUTUS
345,Henry IV,4,1.3.19,The moody frontier of a servant brow.,POLIXENES
