Dataline,Play,PlayerLinenumber,ActSceneLine,PlayerLine
127,Henry IV,3,1.2.13,"Indeed, you come near me now, Hal, for we that take"
128,Henry IV,3,1.2.14,"purses go by the moon and the seven stars, and not"
129,Henry IV,3,1.2.15,"by Phoebus, he,'that wandering knight so fair.' And,"
130,Henry IV,3,1.2.16,"I prithee, sweet wag, when thou art king, as, God"
131,Henry IV,3,1.2.17,"save thy grace,--majesty I should say, for grace"
132,Henry IV,3,1.2.18,"thou wilt have none,--"
133,Henry IV,4,1.2.19,"What, none?"
134,Henry IV,5,1.2.20,"No, by my troth, not so much as will serve to"
135,Henry IV,5,1.2.21,prologue to an egg and butter.
136,Henry IV,6,1.2.22,"Well, how then? come, roundly, roundly."
137,Henry IV,7,1.2.23,"Marry, then, sweet wag, when thou art king, let not"
138,Henry IV,7,1.2.24,us that are squires of the night's body be called
139,Henry IV,7,1.2.25,thieves of the day's beauty: let us be Diana's
140,Henry IV,7,1.2.26,"foresters, gentlemen of the shade, minions of the"
141,Henry IV,7,1.2.27,"moon, and let men say we be men of good government,"
142,Henry IV,7,1.2.28,"being governed, as the sea is, by our noble and"
143,Henry IV,7,1.2.29,"chaste mistress the moon, under whose countenance we steal."
144,Henry IV,8,1.2.30,"Thou sayest well, and it holds well too, for the"
145,Henry IV,8,1.2.31,fortune of us that are the moon's men doth ebb and
146,Henry IV,8,1.2.32,"flow like the sea, being governed, as the sea is,"
147,Henry IV,8,1.2.33,"by the moon. As, for proof, now: a purse of gold"
148,Henry IV,8,1.2.34,most resolutely snatched on Monday night and most
149,Henry IV,8,1.2.35,"dissolutely spent on Tuesday morning, got with"
150,Henry IV,8,1.2.36,"swearing 'Lay by' and spent with crying 'Bring in,'"
151,Henry IV,8,1.2.37,now in as low an ebb as the foot of the ladder
152,Henry IV,8,1.2.38,and by and by in as high a flow as the ridge of the gallows.
153,Henry IV,9,1.2.39,"By the Lord, thou sayest true, lad. And is not my"
154,Henry IV,9,1.2.40,hostess of the tavern a most sweet wench?
155,Henry IV,10,1.2.41,"As the honey of Hybla, my old lad of the castle. And"
156,Henry IV,10,1.2.42,is not a buff jerkin a most sweet robe of durance?
157,Henry IV,11,1.2.43,"How now, how now, mad wag! what, in thy quips and"
158,Henry IV,11,1.2.44,thy quiddities? what a plague have I to do with a
159,Henry IV,11,1.2.45,buff jerkin?
160,Henry IV,12,1.2.46,"Why, what a pox have I to do with my hostess of the tavern?"
161,Henry IV,13,1.2.47,"Well, thou hast called her to a reckoning many a"
162,Henry IV,13,1.2.48,time and oft.
163,Henry IV,14,1.2.49,Did I ever call for thee to pay thy part?
164,Henry IV,15,1.2.50,"No, I'll give thee thy due, thou hast paid all there."
165,Henry IV,16,1.2.51,"Yea, and elsewhere, so far as my coin would stretch,"
166,Henry IV,16,1.2.52,"and where it would not, I have used my credit."
167,Henry IV,17,1.2.53,"Yea, and so used it that were it not here apparent"
168,Henry IV,17,1.2.54,"that thou art heir apparent--But, I prithee, sweet"
169,Henry IV,17,1.2.55,"wag, shall there be gallows standing in England when"
170,Henry IV,17,1.2.56,thou art king? and resolution thus fobbed as it is
171,Henry IV,17,1.2.57,with the rusty curb of old father antic the law? Do
172,Henry IV,17,1.2.58,"not thou, when thou art king, hang a thief."
173,Henry IV,18,1.2.59,"No, thou shalt."
174,Henry IV,19,1.2.60,"Shall I? O rare! By the Lord, I'll be a brave judge."
175,Henry IV,20,1.2.61,"Thou judgest false already: I mean, thou shalt have"
176,Henry IV,20,1.2.62,the hanging of the thieves and so become a rare hangman.
177,Henry IV,21,1.2.63,"Well, Hal, well, and in some sort it jumps with my"
178,Henry IV,21,1.2.64,"humour as well as waiting in the court, I can tell"
179,Henry IV,21,1.2.65,you.
180,Henry IV,22,1.2.66,For obtaining of suits?
181,Henry IV,23,1.2.67,"Yea, for obtaining of suits, whereof the hangman"
182,Henry IV,23,1.2.68,"hath no lean wardrobe. 'Sblood, I am as melancholy"
183,Henry IV,23,1.2.69,as a gib cat or a lugged bear.
184,Henry IV,24,1.2.70,"Or an old lion, or a lover's lute."
185,Henry IV,25,1.2.71,"Yea, or the drone of a Lincolnshire bagpipe."
186,Henry IV,26,1.2.72,"What sayest thou to a hare, or the melancholy of"
187,Henry IV,26,1.2.73,Moor-ditch?
188,Henry IV,27,1.2.74,Thou hast the most unsavoury similes and art indeed
189,Henry IV,27,1.2.75,"the most comparative, rascalliest, sweet young"
190,Henry IV,27,1.2.76,"prince. But, Hal, I prithee, trouble me no more"
191,Henry IV,27,1.2.77,with vanity. I would to God thou and I knew where a
192,Henry IV,27,1.2.78,commodity of good names were to be bought. An old
193,Henry IV,27,1.2.79,lord of the council rated me the other day in the
194,Henry IV,27,1.2.80,"street about you, sir, but I marked him not, and yet"
195,Henry IV,27,1.2.81,"he talked very wisely, but I regarded him not, and"
196,Henry IV,27,1.2.82,"yet he talked wisely, and in the street too."
197,Henry IV,28,1.2.83,"Thou didst well, for wisdom cries out in the"
198,Henry IV,28,1.2.84,"streets, and no man regards it."
199,Henry IV,29,1.2.85,"O, thou hast damnable iteration and art indeed able"
200,Henry IV,29,1.2.86,to corrupt a saint. Thou hast done much harm upon
201,Henry IV,29,1.2.87,"me, Hal, God forgive thee for it! Before I knew"
202,Henry IV,29,1.2.88,"thee, Hal, I knew nothing, and now am I, if a man"
203,Henry IV,29,1.2.89,"should speak truly, little better than one of the"
204,Henry IV,29,1.2.90,"wicked. I must give over this life, and I will give"
205,Henry IV,29,1.2.91,"it over: by the Lord, and I do not, I am a villain:"
206,Henry IV,29,1.2.92,I'll be damned for never a king's son in
207,Henry IV,29,1.2.93,Christendom.
208,Henry IV,30,1.2.94,"Where shall we take a purse tomorrow, Jack?"
209,Henry IV,31,1.2.95,"'Zounds, where thou wilt, lad, I'll make one, an I"
210,Henry IV,31,1.2.96,"do not, call me villain and baffle me."
211,Henry IV,32,1.2.97,"I see a good amendment of life in thee, from praying"
212,Henry IV,32,1.2.98,to purse-taking.
213,Henry IV,33,1.2.99,"Why, Hal, 'tis my vocation, Hal, 'tis no sin for a"
214,Henry IV,33,1.2.100,man to labour in his vocation.
215,Henry IV,33,,Enter POINS
216,Henry IV,33,1.2.101,Poins! Now shall we know if Gadshill have set a
217,Henry IV,33,1.2.102,"match. O, if men were to be saved by merit, what"
218,Henry IV,33,1.2.103,hole in hell were hot enough for him? This is the
219,Henry IV,33,1.2.104,most omnipotent villain that ever cried 'Stand' to
220,Henry IV,33,1.2.105,a true man.
221,Henry IV,34,1.2.106,"Good morrow, Ned."
222,Henry IV,35,1.2.107,"Good morrow, sweet Hal. What says Monsieur Remorse?"
223,Henry IV,35,1.2.108,what says Sir John Sack and Sugar? Jack! how
224,Henry IV,35,1.2.109,"agrees the devil and thee about thy soul, that thou"
225,Henry IV,35,1.2.110,soldest him on Good-Friday last for a cup of Madeira
226,Henry IV,35,1.2.111,and a cold capon's leg?
227,Henry IV,36,1.2.112,"Sir John stands to his word, the devil shall have"
228,Henry IV,36,1.2.113,"his bargain, for he was never yet a breaker of"
229,Henry IV,36,1.2.114,proverbs: he will give the devil his due.
230,Henry IV,37,1.2.115,Then art thou damned for keeping thy word with the devil.
231,Henry IV,38,1.2.116,Else he had been damned for cozening the devil.
232,Henry IV,39,1.2.117,"But, my lads, my lads, to-morrow morning, by four"
233,Henry IV,39,1.2.118,"o'clock, early at Gadshill! there are pilgrims going"
234,Henry IV,39,1.2.119,"to Canterbury with rich offerings, and traders"
235,Henry IV,39,1.2.120,riding to London with fat purses: I have vizards
236,Henry IV,39,1.2.121,"for you all, you have horses for yourselves:"
237,Henry IV,39,1.2.122,Gadshill lies to-night in Rochester: I have bespoke
238,Henry IV,39,1.2.123,supper to-morrow night in Eastcheap: we may do it
239,Henry IV,39,1.2.124,"as secure as sleep. If you will go, I will stuff"
240,Henry IV,39,1.2.125,"your purses full of crowns, if you will not, tarry"
241,Henry IV,39,1.2.126,at home and be hanged.
242,Henry IV,40,1.2.127,"Hear ye, Yedward, if I tarry at home and go not,"
243,Henry IV,40,1.2.128,I'll hang you for going.
244,Henry IV,41,1.2.129,"You will, chops?"
245,Henry IV,42,1.2.130,"Hal, wilt thou make one?"
246,Henry IV,43,1.2.131,"Who, I rob? I a thief? not I, by my faith."
247,Henry IV,44,1.2.132,"There's neither honesty, manhood, nor good"
248,Henry IV,44,1.2.133,"fellowship in thee, nor thou camest not of the blood"
249,Henry IV,44,1.2.134,"royal, if thou darest not stand for ten shillings."
250,Henry IV,45,1.2.135,"Well then, once in my days I'll be a madcap."
251,Henry IV,46,1.2.136,"Why, that's well said."
252,Henry IV,47,1.2.137,"Well, come what will, I'll tarry at home."
253,Henry IV,48,1.2.138,"By the Lord, I'll be a traitor then, when thou art king."
254,Henry IV,49,1.2.139,I care not.
255,Henry IV,50,1.2.140,"Sir John, I prithee, leave the prince and me alone:"
256,Henry IV,50,1.2.141,I will lay him down such reasons for this adventure
257,Henry IV,50,1.2.142,that he shall go.
258,Henry IV,51,1.2.143,"Well, God give thee the spirit of persuasion and him"
259,Henry IV,51,1.2.144,"the ears of profiting, that what thou speakest may"
260,Henry IV,51,1.2.145,"move and what he hears may be believed, that the"
261,Henry IV,51,1.2.146,"true prince may, for recreation sake, prove a false"
262,Henry IV,51,1.2.147,"thief, for the poor abuses of the time want"
263,Henry IV,51,1.2.148,countenance. Farewell: you shall find me in Eastcheap.
264,Henry IV,52,1.2.149,"Farewell, thou latter spring! farewell, All-hallown summer!"
265,Henry IV,52,,Exit Falstaff
266,Henry IV,53,1.2.150,"Now, my good sweet honey lord, ride with us"
267,Henry IV,53,1.2.151,to-morrow: I have a jest to execute that I cannot
268,Henry IV,53,1.2.152,"manage alone. Falstaff, Bardolph, Peto and Gadshill"
269,Henry IV,53,1.2.153,shall rob those men that we have already waylaid:
270,Henry IV,53,1.2.154,"yourself and I will not be there, and when they"
271,Henry IV,53,1.2.155,"have the booty, if you and I do not rob them, cut"
272,Henry IV,53,1.2.156,this head off from my shoulders.
273,Henry IV,54,1.2.157,How shall we part with them in setting forth?
274,Henry IV,55,1.2.158,"Why, we will set forth before or after them, and"
275,Henry IV,55,1.2.159,"appoint them a place of meeting, wherein it is at"
276,Henry IV,55,1.2.160,"our pleasure to fail, and then will they adventure"
277,Henry IV,55,1.2.161,"upon the exploit themselves, which they shall have"
278,Henry IV,55,1.2.162,"no sooner achieved, but we'll set upon them."
279,Henry IV,56,1.2.163,"Yea, but 'tis like that they will know us by our"
280,Henry IV,56,1.2.164,"horses, by our habits and by every other"
281,Henry IV,56,1.2.165,"appointment, to be ourselves."
282,Henry IV,57,1.2.166,Tut! our horses they shall not see: I'll tie them
283,Henry IV,57,1.2.167,"in the wood, our vizards we will change after we"
284,Henry IV,57,1.2.168,"leave them: and, sirrah, I have cases of buckram"
285,Henry IV,57,1.2.169,"for the nonce, to immask our noted outward garments."
286,Henry IV,58,1.2.170,"Yea, but I doubt they will be too hard for us."
287,Henry IV,59,1.2.171,"Well, for two of them, I know them to be as"
288,Henry IV,59,1.2.172,"true-bred cowards as ever turned back, and for the"
289,Henry IV,59,1.2.173,"third, if he fight longer than he sees reason, I'll"
290,Henry IV,59,1.2.174,"forswear arms. The virtue of this jest will be, the"
291,Henry IV,59,1.2.175,incomprehensible lies that this same fat rogue will
292,Henry IV,59,1.2.176,"tell us when we meet at supper: how thirty, at"
293,Henry IV,59,1.2.177,"least, he fought with, what wards, what blows, what"
294,Henry IV,59,1.2.178,"extremities he endured, and in the reproof of this"
295,Henry IV,59,1.2.179,lies the jest.
296,Henry IV,60,1.2.180,"Well, I'll go with thee: provide us all things"
297,Henry IV,60,1.2.181,"necessary and meet me to-morrow night in Eastcheap,"
298,Henry IV,60,1.2.182,there I'll sup. Farewell.
299,Henry IV,61,1.2.183,"Farewell, my lord."
300,Henry IV,61,,Exit Poins
301,Henry IV,62,1.2.184,"I know you all, and will awhile uphold"
302,Henry IV,62,1.2.185,The unyoked humour of your idleness:
303,Henry IV,62,1.2.186,"Yet herein will I imitate the sun,"
304,Henry IV,62,1.2.187,Who doth permit the base contagious clouds
305,Henry IV,62,1.2.188,"To smother up his beauty from the world,"
306,Henry IV,62,1.2.189,"That, when he please again to be himself,"
307,Henry IV,62,1.2.190,"Being wanted, he may be more wonder'd at,"
308,Henry IV,62,1.2.191,By breaking through the foul and ugly mists
309,Henry IV,62,1.2.192,Of vapours that did seem to strangle him.
310,Henry IV,62,1.2.193,"If all the year were playing holidays,"
311,Henry IV,62,1.2.194,"To sport would be as tedious as to work,"
312,Henry IV,62,1.2.195,"But when they seldom come, they wish'd for come,"
313,Henry IV,62,1.2.196,And nothing pleaseth but rare accidents.
314,Henry IV,62,1.2.197,"So, when this loose behavior I throw off"
315,Henry IV,62,1.2.198,"And pay the debt I never promised,"
316,Henry IV,62,1.2.199,"By how much better than my word I am,"
317,Henry IV,62,1.2.200,"By so much shall I falsify men's hopes,"
318,Henry IV,62,1.2.201,"And like bright metal on a sullen ground,"
319,Henry IV,62,1.2.202,"My reformation, glittering o'er my fault,"
320,Henry IV,62,1.2.203,Shall show more goodly and attract more eyes
321,Henry IV,62,1.2.204,Than that which hath no foil to set it off.
322,Henry IV,62,1.2.205,"I'll so offend, to make offence a skill,"
323,Henry IV,62,1.2.206,Redeeming time when men think least I will.
324,Henry IV,62,,Exit
325,Henry IV,62,,SCENE III. London. The palace.
326,Henry IV,62,,"Enter the KING, NORTHUMBERLAND, WORCESTER, HOTSPUR, SIR WALTER BLUNT, with others"
327,Henry IV,1,1.3.1,"My blood hath been too cold and temperate,"
328,Henry IV,1,1.3.2,"Unapt to stir at these indignities,"
329,Henry IV,1,1.3.3,"And you have found me, for accordingly"
330,Henry IV,1,1.3.4,You tread upon my patience: but be sure
331,Henry IV,1,1.3.5,"I will from henceforth rather be myself,"
332,Henry IV,1,1.3.6,"Mighty and to be fear'd, than my condition,"
333,Henry IV,1,1.3.7,"Which hath been smooth as oil, soft as young down,"
334,Henry IV,1,1.3.8,And therefore lost that title of respect
335,Henry IV,1,1.3.9,Which the proud soul ne'er pays but to the proud.
336,Henry IV,2,1.3.10,"Our house, my sovereign liege, little deserves"
337,Henry IV,2,1.3.11,"The scourge of greatness to be used on it,"
338,Henry IV,2,1.3.12,And that same greatness too which our own hands
339,Henry IV,2,1.3.13,Have holp to make so portly.
340,Henry IV,3,1.3.14,My lord.--
341,Henry IV,4,1.3.15,"Worcester, get thee gone, for I do see"
342,Henry IV,4,1.3.16,Danger and disobedience in thine eye:
343,Henry IV,4,1.3.17,"O, sir, your presence is too bold and peremptory,"
344,Henry IV,4,1.3.18,And majesty might never yet endure
345,Henry IV,4,1.3.19,The moody frontier of a servant brow.
346,Henry IV,4,1.3.20,You have good leave to leave us: when we need
347,Henry IV,4,1.3.21,"Your use and counsel, we shall send for you."
348,Henry IV,4,,Exit Worcester
349,Henry IV,4,1.3.22,You were about to speak.
350,Henry IV,4,,To North
351,Henry IV,5,1.3.23,"Yea, my good lord."
352,Henry IV,5,1.3.24,"Those prisoners in your highness' name demanded,"
353,Henry IV,5,1.3.25,"Which Harry Percy here at Holmedon took,"
354,Henry IV,5,1.3.26,"Were, as he says, not with such strength denied"
355,Henry IV,5,1.3.27,As is deliver'd to your majesty:
356,Henry IV,5,1.3.28,"Either envy, therefore, or misprison"
357,Henry IV,5,1.3.29,Is guilty of this fault and not my son.
358,Henry IV,6,1.3.30,"My liege, I did deny no prisoners."
359,Henry IV,6,1.3.31,"But I remember, when the fight was done,"
360,Henry IV,6,1.3.32,"When I was dry with rage and extreme toil,"
361,Henry IV,6,1.3.33,"Breathless and faint, leaning upon my sword,"
362,Henry IV,6,1.3.34,"Came there a certain lord, neat, and trimly dress'd,"
363,Henry IV,6,1.3.35,"Fresh as a bridegroom, and his chin new reap'd"
364,Henry IV,6,1.3.36,"Show'd like a stubble-land at harvest-home,"
365,Henry IV,6,1.3.37,"He was perfumed like a milliner,"
366,Henry IV,6,1.3.38,And 'twixt his finger and his thumb he held
367,Henry IV,6,1.3.39,"A pouncet-box, which ever and anon"
368,Henry IV,6,1.3.40,"He gave his nose and took't away again,"
369,Henry IV,6,1.3.41,"Who therewith angry, when it next came there,"
370,Henry IV,6,1.3.42,"Took it in snuff, and still he smiled and talk'd,"
371,Henry IV,6,1.3.43,"And as the soldiers bore dead bodies by,"
372,Henry IV,6,1.3.44,"He call'd them untaught knaves, unmannerly,"
373,Henry IV,6,1.3.45,To bring a slovenly unhandsome corse
374,Henry IV,6,1.3.46,Betwixt the wind and his nobility.
375,Henry IV,6,1.3.47,With many holiday and lady terms
376,Henry IV,6,1.3.48,"He question'd me, amongst the rest, demanded"
377,Henry IV,6,1.3.49,My prisoners in your majesty's behalf.
378,Henry IV,6,1.3.50,"I then, all smarting with my wounds being cold,"
379,Henry IV,6,1.3.51,"To be so pester'd with a popinjay,"
380,Henry IV,6,1.3.52,"Out of my grief and my impatience,"
381,Henry IV,6,1.3.53,"Answer'd neglectingly I know not what,"
382,Henry IV,6,1.3.54,"He should or he should not, for he made me mad"
383,Henry IV,6,1.3.55,To see him shine so brisk and smell so sweet
384,Henry IV,6,1.3.56,And talk so like a waiting-gentlewoman
385,Henry IV,6,1.3.57,"Of guns and drums and wounds,--God save the mark!--"
386,Henry IV,6,1.3.58,And telling me the sovereign'st thing on earth
387,Henry IV,6,1.3.59,"Was parmaceti for an inward bruise,"
388,Henry IV,6,1.3.60,"And that it was great pity, so it was,"
389,Henry IV,6,1.3.61,This villanous salt-petre should be digg'd
390,Henry IV,6,1.3.62,"Out of the bowels of the harmless earth,"
391,Henry IV,6,1.3.63,Which many a good tall fellow had destroy'd
392,Henry IV,6,1.3.64,"So cowardly, and but for these vile guns,"
393,Henry IV,6,1.3.65,He would himself have been a soldier.
394,Henry IV,6,1.3.66,"This bald unjointed chat of his, my lord,"
395,Henry IV,6,1.3.67,"I answer'd indirectly, as I said,"
396,Henry IV,6,1.3.68,"And I beseech you, let not his report"
397,Henry IV,6,1.3.69,Come current for an accusation
398,Henry IV,6,1.3.70,Betwixt my love and your high majesty.
399,Henry IV,7,1.3.71,"The circumstance consider'd, good my lord,"
400,Henry IV,7,1.3.72,Whate'er Lord Harry Percy then had said
401,Henry IV,7,1.3.73,"To such a person and in such a place,"
402,Henry IV,7,1.3.74,"At such a time, with all the rest retold,"
403,Henry IV,7,1.3.75,May reasonably die and never rise
404,Henry IV,7,1.3.76,To do him wrong or any way impeach
405,Henry IV,7,1.3.77,"What then he said, so he unsay it now."
406,Henry IV,8,1.3.78,"Why, yet he doth deny his prisoners,"
407,Henry IV,8,1.3.79,"But with proviso and exception,"
408,Henry IV,8,1.3.80,That we at our own charge shall ransom straight
409,Henry IV,8,1.3.81,"His brother-in-law, the foolish Mortimer,"
410,Henry IV,8,1.3.82,"Who, on my soul, hath wilfully betray'd"
411,Henry IV,8,1.3.83,The lives of those that he did lead to fight
412,Henry IV,8,1.3.84,"Against that great magician, damn'd Glendower,"
413,Henry IV,8,1.3.85,"Whose daughter, as we hear, the Earl of March"
414,Henry IV,8,1.3.86,"Hath lately married. Shall our coffers, then,"
415,Henry IV,8,1.3.87,Be emptied to redeem a traitor home?
416,Henry IV,8,1.3.88,"Shall we but treason? and indent with fears,"
417,Henry IV,8,1.3.89,When they have lost and forfeited themselves?
418,Henry IV,8,1.3.90,"No, on the barren mountains let him starve,"
419,Henry IV,8,1.3.91,For I shall never hold that man my friend
